0,1,2,3,4
1896,1897,Second Matabele War,"British South Africa
Company","Ndebele (Matabele)
people
Shona (Mashona) people"
1896,1898,Philippine Revolution,"Katipunan
Sovereign Tagalog
Nation
First Philippine
Republic
United States",Kingdom of Spain
,,,,
1897,1897,"Greco-Turkish War (1897)
The Thirty Days' War",Ottoman Empire,Kingdom of Greece
1897,1897,Intentona de Yauco,Spain,Puerto Rican Rebels
1897,1897,Benin Expedition of 1897,British Empire,Kingdom of Benin
1897,1898,"The Great Frontier Revolt
Malakand Uprising
Waziristan Expedition
Tirah Campaign
Mohmand Revolt",United Kingdom,"Pashtun tribes of
Afghanistan"
1898,1898,1898 Baloch uprising,,
1898,1898,Andijan uprising of 1898,Russian Empire,Kokand Khanate Loyalists
1898,1898,Spanish–American War,"United States
Cuba
First Philippine
Republic
Katipunan",Kingdom of Spain
1898,1898,Negros Revolution,"Katipunan
Negrense
Revolutionaries",Kingdom of Spain
1898,1899,"Federal Revolution of
1899",Liberal Party,Conservative Party
1898,1899,Second Samoan Civil War,Samoa,Mata'afans
1898,1898,1898 Baloch uprising,British Empire,"Rebels under Mir Baloch
Khan and Mir Mehrab
Khan Nausherwani"
1898,1900,Voulet-Chanoine Mission,France,Rabih az-Zubayr's Empire
1899,1901,Rabih War,"France
Kingdom of Baguirmi",Rabih's empire
1899,1902,"(See Battle of Maroua–
Miskin)","German Empire
German Kamerun",Adamawa Emirate
1899,1901,Boxer Rebellion,"Eight-Nation Alliance
Empire of Japan
Russian Empire
British Empire
France
United States
German Empire
Kingdom of Italy
Austria-Hungary","Righteous Harmony
Society
China"
,,,"Netherlands
Belgium
Spain",
1899,1902,Second Boer War,"British Empire
Cape Colony
Natal Colony
British India
Australia
Canada
New Zealand","Orange Free State
South African
Republic
Foreign volunteers"
1899,1902,Thousand Days' War,"Colombian
Conservative Party","Colombian Liberal
Party"
1899,"1902
(Malvar
surrender)
1913
(Irreconcilables
active)",Philippine–American War,"United States
Philippine
Constabulary
Philippine Scouts","First Philippine
Republic
Katipunan
Pulajanes
Sultanate of Sulu
Moro people"
1899,1903,Acre War,"Brazil
Republic of Acre",Bolivia
